Title,Paragraph
جماهير في الإمارات تطالب كريستيانو رونالدو بهذا الشيء.. والنجم البرتغالي يستجيب,"أظهرت لقطات مصورة استجابة كريستيانو رونالدو، لاعب نادي النصر السعودي، لطلب الجماهير، على هامش تواجده مع فريق ""العالمي"" في العاصمة الإماراتية أبوظبي، لخوض منافسات مسابقة كأس السوبر السعودي."
"بعد هزّه شباك مانشستر يونايتد.. أرقام ""قياسية"" جديدة لمحمد صلاح",أحرز اللاعب محمد صلاح هدفا، ساعد من خلاله في تعادل نادي ليفربول  مع منافسه مانشستر يونايتد بنتيجة 2/2، الأحد، ضمن منافسات الأسبوع الـ32 من الدوري الإنجليزي الممتاز (البريميرليغ).
"هدف ""مُذهل"" من لويس دياز أمام مانشستر يونايتد يجذب الانتباه.. هكذا دخلت الكرة الشباك","سجّل لويس دياز، لاعب ليفربول، هدفاً جميلاً في مرمى مانشستر يونايتد، خلال مواجهة الفريقين التي تقام على أرض ملعب ""أولد ترافورد""، الأحد، ضمن منافسات الجولة الـ32 من الدوري الإنجليزي الممتاز (البريميرليغ)."
"""قمة مرتقبة"" بين الهلال والنصر في الإمارات.. برأيك من سيبلغ نهائي كأس السوبر السعودي؟",يحتضن استاد محمد بن زايد في العاصمة الإماراتية أبوظبي مباراة بين نادي الهلال ومنافسه النصر، مساء الاثنين المقبل، ضمن الدور نصف النهائي من كأس السوبر السعودي.
مشجعة تقتحم أرض الملعب للقاء ليونيل ميسي.. وهذا ما فعله النجم الأرجنتيني,أظهرت لقطات مصورة مشجعة تقتحم أرض الملعب للقاء النجم الأرجنتيني ليونيل ميسي، خلال مباراة بين نادي إنتر ميامي ونظيره كولورادو رابيدز، ليلة الأحد، وضمن منافسات الدوري الأمريكي لكرة القدم.
منافسة بين ياسين بونو وإدوارد ميندي على تحقيق هذا الرقم في الدوري السعودي,يعد المغربي ياسين بونو والسنغالي إدوارد ميندي من أفضل حراس المرمى في الدوري السعودي للمحترفين (روشن) هذا الموسم 2024/2023، إذ يعتبران الأكثر حفاظا على شباكهما حتى الآن.
"هكذا كان رد فعل غوارديولا على هدف ""عالمي"" لكيفين دي بروين في الدوري الإنجليزي",سجّل كيفين دي بروين، لاعب مانشستر سيتي، هدفين في مرمى كريستال بالاس، خلال مواجهة الفريقين على أرض ملعب الأخير، السبت، ضمن مباريات الأسبوع الـ32 من الدوري الإنجليزي الممتاز (البريميرليغ).
هذا ما طالب به محمد صلاح لفوز نادي ليفربول بالألقاب هذا الموسم,"قال النجم المصري محمد صلاح إنه يشعر برفقة زملائه بـ""التوتر"" في ظل منافسة نادي ليفربول على لقبي الدوري الإنجليزي الممتاز (البريميرليغ) والدوري الأوروبي (يوروبا ليغ) هذا الموسم 2024/2023."
السعودية.. هذا ما قاله كريم بنزيما عن مزاعم انتقاله لنادي الهلال,قال كريم بنزيما، لاعب نادي اتحاد جدة السعودي، إنه يحاول هزّ شباك المنافسين في كلّ مباراة، مُشيراً إلى أن تحقيق الفريق للفوز ذات أهمية أكبر من تسجيله للأهداف.
"تفاعل مع هدف ""مُذهل"" لمالكوم في الدوري السعودي.. وهذه أبرز التعليقات","سجّل اللاعب مالكوم هدفين، ساعد من خلالهما في فوز نادي الهلال على منافسه الخليج بنتيجة 1/4، في مواجهة أقيمت على أرض ملعب الأخير، الجمعة، وضمن منافسات الأسبوع الـ 27 من دوري ""روشن"" السعودي."
